K(20) : 1.0, 0.0 -> 1.0, 0.0*74.43736118804279
K(21) : 1.0, 0.0 -> 1.0, 0.0*74.4787402492828
K(22) : 1.0, 0.0 -> 1.0, 0.0*74.59643260828064
K(23) : 1.0, 0.0 -> 1.0, 0.0*74.69793004224344
K(24) : 1.0, 0.0 -> 1.0, 0.0*74.8079991644582
K(25) : 1.0, 0.0 -> 1.0, 0.0*74.78681205860227
K(26) : 1.0, 0.0 -> 1.0, 0.0*74.77487603139738
K(27) : 1.0, 0.0 -> 1.0, 0.0*74.8181988702846
K(28) : 1.0, 0.0 -> 1.0, 0.0*74.80896295271305
K(29) : 1.0, 0.0 -> 1.0, 0.0*74.83243245950743
K(30) : 1.0, 0.0 -> 1.0, 0.0*74.86699908155097
K(31) : 1.0, 0.0 -> 1.0, 0.0*74.97045974520249
K(32) : 1.0, 0.0 -> 1.0, 0.0*74.94988928240888
K(33) : 1.0, 0.0 -> 1.0, 0.0*74.9829395442375
K(34) : 1.0, 0.0 -> 1.0, 0.0*74.95706120501237
K(35) : 1.0, 0.0 -> 1.0, 0.0*74.92944996921278
K(36) : 1.0, 0.0 -> 1.0, 0.0*74.96807456140178
K(37) : 1.0, 0.0 -> 1.0, 0.0*75.03400207699981
K(38) : 1.0, 0.0 -> 1.0, 0.0*75.02244936669713
K(39) : 1.0, 0.0 -> 1.0, 0.0*74.96654839496293
K(40) : 1.0, 0.0 -> 1.0, 0.0*75.04603326641374
K(41) : 1.0, 0.0 -> 1.0, 0.0*74.97707743719783
K(42) : 1.0, 0.0 -> 1.0, 0.0*74.86577148983382
K(43) : 1.0, 0.0 -> 1.0, 0.0*74.93482530840814
K(44) : 1.0, 0.0 -> 1.0, 0.0*74.9336609378034
K(45) : 1.0, 0.0 -> 1.0, 0.0*74.96807363180407
K(46) : 1.0, 0.0 -> 1.0, 0.0*75.00531650365427
K(47) : 1.0, 0.0 -> 1.0, 0.0*75.00354121197357
K(48) : 1.0, 0.0 -> 1.0, 0.0*75.02881694663253
K(49) : 1.0, 0.0 -> 1.0, 0.0*74.9989043202588
K(50) : 1.0, 0.0 -> 1.0, 0.0*75.08447148171106
K(51) : 1.0, 0.0 -> 1.0, 0.0*75.0501751325283
K(52) : 1.0, 0.0 -> 1.0, 0.0*75.14014439550652
K(53) : 1.0, 0.0 -> 1.0, 0.0*75.07448812300717
K(54) : 1.0, 0.0 -> 1.0, 0.0*75.05208611569827
K(55) : 1.0, 0.0 -> 1.0, 0.0*75.1318297506051
K(56) : 1.0, 0.0 -> 1.0, 0.0*75.12169451415086
K(57) : 1.0, 0.0 -> 1.0, 0.0*75.19803042177065
K(58) : 1.0, 0.0 -> 1.0, 0.0*75.17287628459864
K(59) : 1.0, 0.0 -> 1.0, 0.0*75.17814072730887
K(60) : 1.0, 0.0 -> 1.0, 0.0*75.1996416135617
K(61) : 1.0, 0.0 -> 1.0, 0.0*75.17588689060501
K(62) : 1.0, 0.0 -> 1.0, 0.0*75.18659057311868
K(63) : 1.0, 0.0 -> 1.0, 0.0*75.07972310704258
K(64) : 1.0, 0.0 -> 1.0, 0.0*75.05557132129665
B(65) : 1.0, 0.0 -> 0.0, 0.013318607948804441*75.08292186720355
K(66) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*75.07054244457927
K(67) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*75.06689715895301
K(68) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.99081788145565
K(69) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.89734554653752
K(70) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.89216885938502
K(71) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.7931918471411
K(72) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.87207347516383
K(73) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.88459018134736
K(74) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.86792214556306
K(75) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.80866825537474
K(76) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.84926544850957
K(77) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.72602854113532
K(78) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.78994722302174
K(79) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.66505854334518
K(80) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.6283779214434
K(81) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.51442866611478
K(82) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.52439431733447
K(83) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.59467549025726
K(84) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.57556472690428
K(85) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.56993878773568
K(86) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.60535962936001
K(87) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.58269418847338
K(88) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.45218304025997
K(89) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.51605942864775
K(90) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.51204281914653
K(91) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.49002677307237
K(92) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.50473519641676
K(93) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.64586149803112
K(94) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.59896453426788
K(95) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.56714009250841
K(96) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.63896203434726
K(97) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.68382704877098
K(98) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.62150360095745
K(99) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.58289479487999
K(100) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.60116328018321
K(101) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.58808650745729
K(102) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.53181998209558
K(103) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.5463381414662
K(104) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.64172794064275
K(105) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.60078384966606
K(106) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.52787747398281
K(107) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.53810522591486
K(108) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.49828695695338
K(109) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.60172598889295
K(110) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.64065930106263
K(111) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.62312329347226
K(112) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.70274514583048
K(113) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.8568420682702
K(114) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.92501275206655
K(115) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.9255296580137
K(116) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.90778655690035
K(117) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.86426541125472
K(118) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.94649862456919
K(119) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.9794663875401
K(120) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*75.01049021894131
K(121) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.956900119554
K(122) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.88173594234046
K(123) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.79251270249418
K(124) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.84331311898782
K(125) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.80808680522989
K(126) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.6727270235097
K(127) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.58194094209082
K(128) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.56589114910368
K(129) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.60229968050056
K(130) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.59539058234478
K(131) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.60323219162412
K(132) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.51533646026994
K(133) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.41454180150652
K(134) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.43748232824258
K(135) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.36888139681827
K(136) : 0.0, 0.013318607948804441 -> 0.0, 0.013318607948804441*74.28094896821402
